33,b,searchBookV2,ckqupira00axt01eu8c0ibtp8,Leigh Bardugo,leigh-bardugo-87kaa,Author,cko1uogrd2980061i6qxwb95hx9,Crooked Kingdom
34,b,searchBookV2,ckqupira00axt01eu8c0ibtp8,Leigh Bardugo,leigh-bardugo-87kaa,Author,ckpq422073211381givt8tio2eo,Ninth House
35,b,searchBookV2,ckquqavgh0mnp01euh7iws9j0,Alice Oseman,alice-oseman-ugi6e,Author,ckr7hi4ka759111jb2chezcdgs,Heartstopper
36,b,searchBookV2,ckk6nr6hn266591i8s1evek9gg,Benjamin Alire Saenz,benjamin-alire-saenz-kh1ao,Author,ckk6nr6hn266581i8s2njkzpbt,Aristotle and Dante Discover the Secrets of the Universe
37,b,searchBookV2,ckg95zun812131gmx29layrztd,Charlotte Brontë,charlotte-bronte-dk7cf,Author,ckppt1vdu456241givulwrefam,Jane Eyre
38,b,searchBookV2,ckquqhv7p0pxv01eubq5r2ssi,Michael Mason,michael-mason-44j8o,Author,ckppt1vdu456241givulwrefam,Jane Eyre
39,b,searchBookV2,ckhg1b1ee189300yabyqpdk88w,Tessa Bailey,tessa-bailey-ee50v,Author,ckrw2w3dr788989179889nrycdz,It Happened One Summer
40,b,searchBookV2,ckqupira00axt01eu8c0ibtp8,Leigh Bardugo,leigh-bardugo-87kaa,Author,cko1uofk62976661i6q1zsblve7,Siege and Storm
41,b,searchBookV2,ckquqe4rq0o5f01euovurx5mk,Markus Zusak,markus-zusak-ndayn,Author,cki5y0xdp803810c1su0oq752,The Book Thief
42,c,searchBookV2,ckgieifst389680y8yahf11a76,Sarah J. Maas,sarah-j-maas-4zfbm,Author,ckr1q2yhl00w601cr6k6vg4mk,A Court of Thorns and Roses
43,c,searchBookV2,cketr9rxp30086jm0y021ar72u,Suzanne Collins,suzanne-collins-0neu6,Author,ckpepv71561301rk92loiv5ir,The Hunger Games
44,c,searchBookV2,ckgey2ozr85930y8q3rmawkvo,Colleen Hoover,colleen-hoover-q7ui3,Author,ckgey2ozr85920y8q8itx6qh4,It Ends with Us
45,c,searchBookV2,ckqupg44u09uh01euxu5f985y,Madeline Miller,madeline-miller-n47ql,Author,ckppt3chb609341givgend0zvh,Circe
46,c,searchBookV2,ckquqge0o0pce01eugkmcwyp5,Holly Black,holly-black-9gx35,Author,ckq1mtj4403861giucxxixjw0,The Cruel Prince
47,c,searchBookV2,ckobxa1x9162781i5brrqprct8,Casey McQuiston,casey-mcquiston-8afpj,Author,ckobxa1x9162771i5bkmhb9yhw,"Red, White & Royal Blue"
48,c,searchBookV2,cketr9rxp30086jm0y021ar72u,Suzanne Collins,suzanne-collins-0neu6,Author,ckpobo6br1010701gmzfjop6ixj,Catching Fire
49,c,searchBookV2,ckqs6w9td00zmairrw2j796df,Sarah J Maas,sarah-j-maas-cxowb,Author,ckr1q2yma00w801crw3gsklq3,A Court of Wings and Ruin
50,c,searchBookV2,cl67gacpr12470300ib7o262z0w9,J. K. Rowling,jk-rowling-i2i5l,Author,ckg3icm3f0062zyx2pb7mw5aq,Harry Potter and the Chamber of Secrets
51,c,searchBookV2,cketr9rxp30086jm0y021ar72u,Suzanne Collins,suzanne-collins-0neu6,Author,ckpoaouz1494581gmzv2d25uyc,Mockingjay
52,c,searchBookV2,ckgieifst389680y8yahf11a76,Sarah J. Maas,sarah-j-maas-4zfbm,Author,cklo6yb5n231301iahvfsgux80,A Court of Mist and Fury
53,c,searchBookV2,ckqupira00axt01eu8c0ibtp8,Leigh Bardugo,leigh-bardugo-87kaa,Author,ckpoawd0n803051gmz6n1zz46n,Six of Crows
54,c,searchBookV2,ckuugmd67123674714u61uqxz05t,Kiera Cass,kiera-cass-gi1d7,Author,ckr1v6epz1jej01crgnb2njiq,The Selection
55,c,searchBookV2,ckhqamymi144227109iz5m3ju33,Chloe Gong,chloe-gong-kbjjd,Author,ckhqamymi144226109ibn8ffcai,These Violent Delights
56,c,searchBookV2,ckg961csz13954gmx24tgsh5kv,John Green,john-green-pp4vb,Author,cklgk497z169931ifbbct0bisn,The Fault in Our Stars
57,c,searchBookV2,ckqupdywd08ta01eu2naubicz,Stephanie Garber,stephanie-garber-fc98i,Author,ckr1qrp9g08ao01cr21xblrkk,Caraval
58,c,searchBookV2,ckqutvgyr248t01eusb8yar7c,Delia Owens,delia-owens-29vkf,Author,ckhq87rqd31120zg1f5zlc0u0,Where the Crawdads Sing
59,c,searchBookV2,ckgey2ozr85930y8q3rmawkvo,Colleen Hoover,colleen-hoover-q7ui3,Author,ckoci8wtr299241i5byikx5979,Ugly Love
60,c,searchBookV2,ckmaujh9138851ijadzugnzl8,Erin Morgenstern,erin-morgenstern-runii,Author,ckmaujh9138841ijaso7ve0dh,The Night Circus
61,c,searchBookV2,ckuu59hn9115313914u6j2fyclbt, Cassandra Clare,cassandra-clare-9jga8,Author,ckr1quco4096d01cr17j0wohc,City of Bones (The Mortal Instruments #1)
