count,shelfId,bookCount
132,cktgu971s76331a7auotqqu5m,1
133,ckltj6ykr01661ih41ympxflk,17
134,ckv6qvt05265929vs8brleu5cgq,4
135,ckrz008a59178541798n5xkvy1w,80
136,cksu7l42s102248y8gsh5ufcxf,6
137,ckrp10udi933564178f136s9jgo,9
138,cksj657li1100541q29834o40ysi,21
139,ckv9n48xh6916831fsht5xx5vrw,7
140,ckutwkf9a1665652j7ahsddtj5j,8
141,ckv7ujptl1114021k8b14qkpdhe,27
142,cks1uyuy616368811798ptggq5uj,9
143,ckuzhfwuy10849511i8bns7xgfw1,12
144,ckuz36qd367655514w4073uurtg,153
145,ckuxs4ax55997731j7a026rvh96,1
146,ckv8d5uwm1673521gs7slu0wi2y,129
147,ckt5w5xp9326959rg7awlgxll3n,3
148,ckuka9nq5425642457a1sni1v6y,210
149,ckv2nrbg51104673b88buh10u2vi,25
150,ckuvplxkd313013y7ahqkwu9fa,5
151,cku7kzgug62979rw7as8po1ndk,5
152,ckuj083pq548265987aphz1gdh0,18
153,cku7sub884619871evd7nwaj8ho,8
154,cklr5vb31427911jkj3a2nws3d,4
155,cku1efcfh1348530yz7a6tlabgb3,15
156,ckunqom9h14839222j7ae6mm36pk,51
157,ckt0cxh5d229681287ost2fdxhn,4
158,ckss5a5jp72623119574vowafy7,1
159,cku2feien892320yz7aevtv2n6l,1
160,cku1kxsoc1655116yz7a0i82c4nm,164
161,cksxf9bpz5361231k8gqfg60o0n,23
162,cktlmppn1176975uc7aintbl8a2,103
163,ckurau3fj23263013rdjm5sx4wl,1
164,cksrkni131508801957kkd0wr23,4
165,cktz1or8n204861yz7a1nwkglk5,5
166,ckv9je87x1741779q8bir8j4cx9,3
167,cku8uvrae740832wn7adaq0xfkl,1
168,cku77hkt2446888nl7afudlwj1b,3
169,cksthf0o0988244528zkwpe9sl7,96
170,ckv2ndq291074637b88b34g3zhoq,4
171,cksxffqws5755951k8gj5exadvx,15
172,ckuefmkt85830781j7aqdqw6t6g,181
173,cku95qhbl416432xn7ahl0yblya,16
174,ckt7gxbz3209496xy7addjd7800,86
175,ckqaqrkfy87631j5zcfq92luy,2
176,ckuwlvm6d6361462b7a4dk7w0fb,7
177,cks9e06uq1897091k980ywgcer7,26
178,ckstcnwcz40595528zojkksov6,7
179,ckul6zqty151102a7aqxt6ibri,3
180,cku190fcb1072954yz7abi9omkxp,1
181,cktdcg4m880367mo7anb1cejl3,38
182,cksye8s8m3435193b8g93adgfjo,3
183,cksz5uho9500998q7oct5tw57f,4
184,cktxpc8po1337805yz7ag1ux3w7m,88
185,ckss4z3476460481957d45efoij,3
186,ckuzoe8f8953673268b75t7o7o4,3
187,ckuhlg7fd1857365m7a4qnoh3fo,4
188,ckv86aeid939243i8bxu77nvde,27
189,cktro14cd1253732yz7amejcphkm,16
190,cksyrlld74109092c8g6v2gs0za,16
191,ckt3g0x7x333067ck7a09lht0d0,12
192,cksxwzjt479542378gv54rgkru,6
193,ckv2srdzj75450cj8bk0674b9t,5
194,ckuzowiih1009690268blu9z8mvh,7
195,ckstc1eqw97754c8zj77y84ki,1
196,ckuvsv47u1647692v7a3qzzefcg,29
197,ckt1wlvs8298792557abweulth3,11
198,ckuzb9prr11020651i8b60zp8wog,1
199,cku865skg812214x797ohahbd,37
200,cksdw6iko81279k698cnlme3p6,6
201,cks21eq8g858261798x3rh8jhk,9
202,cksdtystg48204k6985nkx5j9f,7
203,cku0gem4y1618246yz7aclqre9q5,178
204,cku773z1w429642nl7ar7imsn38,6
205,ckrrnwmw41789281798d83dai4t,5
206,cksz3mmoj2850436n7o9f9zyyzx,2
207,ckv80e9w92476282j8bsc4aygnc,4
208,ckrwfhbfy1323806179885x2xp2b,83
209,ckstbvaeo3656533o8zxua5zofn,1
210,cku740mct262790nl7apmi7z9ih,37
211,cktam2hf6103933913w302qseh5e,7
212,ckuyi1mb142251813vwgz8dk0e3,2
213,cksz20nwh618224y7of80jt8xp,10
214,cksxtgvoe1037267378gartw1t47,16
215,cksxsz7cr934448378gcpiq4xsk,12
216,ckv2sqs0o71414cj8b9vwypts2,11
217,ckrz48niy10465341798julsf8yl,3
218,cksudvntv11014d48gctu3z0re,2
219,ckrlwnh5x891721183smfbwzl49,45
220,cksu7etiq228048a8gitplzhav,15
221,cksxg52n66981621k8ghbroh44z,167
222,ckuwbrh4x2980091j7ak235mczo,21
223,ckszqhefq60701as7ogxymwarw,46
224,cksa46jiw5451331k98conehx4u,77
225,cku0g7hqo1582886yz7aqlx9sisl,48
226,ckv35ydpg93148e78bnngtw421,11
227,cksw3z68r8540213g8g3ku1exe9,35
228,cktnc9byy25101515vtekbrughx,21
229,cko1ubl5b2926331i6q7qzl74kj,4
230,ckuvojmx6854611297abqri822y,4
231,ckuzl588i623194268brbeu2cil,6
232,ckt38twsx16277bt7a0uye7ma3,17
233,cksxufki41224142378g1vlo3c7m,1
234,ckuxim1if380722k6pa9pqxsxq,86
235,ckuxvde179410173f6p7mmgl8oj,10
236,ckuhlmhui2346595m7adtqaztmo,1
237,cku190arr1072414yz7ap46kstr5,1
238,ckt4fqbxh709465l77aocxyznpj,38
239,ckuoi60qp2614572j7azdmzi6p9,8
240,ckuw1ogyl7008442i7a5391ebly,2
241,ckt5m734565377q77az1mven1i,16
